comp	P1	P2	P3	P4	Dstat	ABBA	BABA	se	Zscore	abs.z
1	a_lp_al_1311	a_lp_ca_1309	a_ll_pv_0223	cat_autosomes	-0.0196635868278	18621	19368	0.0193934645918	-1.01392851879154	1.01392851879154
1	a_lp_al_1311	a_lp_ca_1309	c_ll_ba_0227	cat_autosomes	-0.0440528634361	18879	20619	0.0194528928513	-2.26459189246786	2.26459189246786
1	a_lp_al_1311	a_lp_ca_1309	c_ll_ba_0229	cat_autosomes	-0.0432879982098	19239	20980	0.0192536359646	-2.24830251747721	2.24830251747721
1	a_lp_al_1311	a_lp_ca_1309	c_ll_ca_0241	cat_autosomes	-0.04621910916	19336	21210	0.0188124254174	-2.4568394629887	2.4568394629887
1	a_lp_al_1311	a_lp_ca_1309	c_ll_ca_0242	cat_autosomes	-0.0475930791731	19211	21131	0.0191910524762	-2.47996191100634	2.47996191100634
1	a_lp_al_1311	a_lp_ca_1309	c_ll_cr_0205	cat_autosomes	-0.0425415792951	16666	18147	0.0204598838844	-2.07926787539281	2.07926787539281
1	a_lp_al_1311	a_lp_ca_1309	c_ll_ki_0090	cat_autosomes	-0.0459100557832	19327	21187	0.0194228025633	-2.3637194289329	2.3637194289329
1	a_lp_al_1311	a_lp_ca_1309	c_ll_ki_0091	cat_autosomes	-0.0395713344222	16759	18140	0.0198380611741	-1.99471783431453	1.99471783431453
1	a_lp_al_1311	a_lp_ca_1309	c_ll_vl_0112	cat_autosomes	-0.0490510591404	19416	21419	0.0187506121929	-2.61597107527899	2.61597107527899
1	a_lp_al_1311	a_lp_ca_1309	c_ll_vl_0113	cat_autosomes	-0.0469904221554	16965	18638	0.0192455921832	-2.44161996721614	2.44161996721614
1	a_lp_al_1311	a_lp_ca_1309	c_ll_ya_0138	cat_autosomes	-0.0446832247079	16270	17792	0.019766234402	-2.26058356888547	2.26058356888547
1	a_lp_al_1311	a_lp_ca_1309	c_ll_ya_0146	cat_autosomes	-0.0474476276186	19052	20950	0.0193594045481	-2.45088259304219	2.45088259304219
2	a_lp_al_1311	a_lp_sm_1310	a_ll_pv_0223	cat_autosomes	-0.0943297230446	12083	14600	0.0174419950059	-5.4081957375112	5.4081957375112
2	a_lp_al_1311	a_lp_sm_1310	c_ll_ba_0227	cat_autosomes	-0.107546615769	12157	15087	0.0176643889435	-6.08832924325832	6.08832924325832
2	a_lp_al_1311	a_lp_sm_1310	c_ll_ba_0229	cat_autosomes	-0.0990401553007	12531	15286	0.017530443904	-5.64960909393182	5.64960909393182
2	a_lp_al_1311	a_lp_sm_1310	c_ll_ca_0241	cat_autosomes	-0.10884086444	12474	15521	0.0170576572689	-6.38076276971761	6.38076276971761
2	a_lp_al_1311	a_lp_sm_1310	c_ll_ca_0242	cat_autosomes	-0.110189785196	12448	15531	0.0172692199277	-6.38070426211056	6.38070426211056
2	a_lp_al_1311	a_lp_sm_1310	c_ll_cr_0205	cat_autosomes	-0.109915131443	10750	13405	0.0182551914921	-6.02103415297321	6.02103415297321
2	a_lp_al_1311	a_lp_sm_1310	c_ll_ki_0090	cat_autosomes	-0.110785504967	12441	15541	0.0175154417872	-6.32501916383064	6.32501916383064
2	a_lp_al_1311	a_lp_sm_1310	c_ll_ki_0091	cat_autosomes	-0.112712384852	10836	13589	0.0179308094864	-6.28596187681817	6.28596187681817
2	a_lp_al_1311	a_lp_sm_1310	c_ll_vl_0112	cat_autosomes	-0.108728726604	12595	15668	0.0170903239378	-6.36200501521895	6.36200501521895
2	a_lp_al_1311	a_lp_sm_1310	c_ll_vl_0113	cat_autosomes	-0.107765579593	11053	13723	0.0174405475456	-6.17902501691741	6.17902501691741
2	a_lp_al_1311	a_lp_sm_1310	c_ll_ya_0138	cat_autosomes	-0.106528052527	10614	13145	0.0182045286095	-5.85173364343027	5.85173364343027
2	a_lp_al_1311	a_lp_sm_1310	c_ll_ya_0146	cat_autosomes	-0.11289100552	12294	15423	0.0180265073794	-6.26250016955628	6.26250016955628
3	a_lp_al_1311	c_lp_do_0007	a_ll_pv_0223	cat_autosomes	0.114864367252	22707	18028	0.02482553079	4.62686450588475	4.62686450588475
3	a_lp_al_1311	c_lp_do_0007	c_ll_ba_0227	cat_autosomes	0.183281319661	26541	18319	0.0227231727197	8.06583314407073	8.06583314407073
3	a_lp_al_1311	c_lp_do_0007	c_ll_ba_0229	cat_autosomes	0.191000520201	27474	18662	0.0221347176721	8.62900187074666	8.62900187074666
3	a_lp_al_1311	c_lp_do_0007	c_ll_ca_0241	cat_autosomes	0.194414054958	27840	18777	0.0219098449436	8.87336516796252	8.87336516796252
3	a_lp_al_1311	c_lp_do_0007	c_ll_ca_0242	cat_autosomes	0.19368407429	27669	18690	0.0224755155036	8.61755870556014	8.61755870556014
3	a_lp_al_1311	c_lp_do_0007	c_ll_cr_0205	cat_autosomes	0.187877237852	23223	15877	0.0237289620273	7.91763405562572	7.91763405562572
3	a_lp_al_1311	c_lp_do_0007	c_ll_ki_0090	cat_autosomes	0.193347992229	27950	18893	0.0226285382858	8.54443136304261	8.54443136304261
3	a_lp_al_1311	c_lp_do_0007	c_ll_ki_0091	cat_autosomes	0.178073754716	22953	16014	0.0227792166364	7.81737833914128	7.81737833914128
